NIT;Razon_Social;Resolucion;Fecha
860001942;BAYER S.A.;643;30/12/1985
860002190;SHELL COLOMBIA S.A.;465;18/10/1985
860002302;ETERNIT COLOMBIANA S.A.;503;14/11/1985
860002304;GENERAL MOTORS COLMOTORES S.A.;637;30/12/1985
860026753;ACERIAS DE COLOMBIA ACESCO & CIA S.C.A.;533;25/11/1985
860005223;CHEVRON PETROLEUM COMPANY;466;18/10/1985
860005224;BAVARIA S.A.;614;16/12/1985
890925108;"PAPELES Y CARTONES S.A. ""PAPELSA""";639;30/12/1985
890300005;CARVAJAL S.A.;480;28/10/1985
890300431;ESPECIALIDADES ELECTRICAS S.A.S;582;6/12/1985
890300440;CENTRAL CASTILLA S.A.;511;19/11/1985
860002554;EXXONMOBIL DE COLOMBIA S.A.;467;18/10/1985
890301690;INDUSTRIAS DEL MAIZ S.A. - MAIZENA S.A.;482;31/10/1985
890301884;COLOMBINA S.A.;621;12/18/1985
890300546;COLGATE PALMOLIVE COMPANIA;550;28/11/1985
890301163;DISTRIBUIDORA COLOMBINA LTDA;623;18/12/1985
890302546;EVEREADY DE COLOMBIA S.A.;642;30/12/1985
860026455;PAPELES ENGOMADOS PAGOMA LTDA;218;19/02/1986
860067246;TELARES DE COLOMBIA COLTELARES LTDA;305;3/07/1986
860001789;INDUSTRIAS Y DISTRIBUIDORA INDISTRI S.A.;477;4/08/1986
860001860;CRISTACRYL DE COLOMBIA S.A.;1909;12/03/1986
860001965;TEXTILES LAFAYETTE S.A.;238;26/02/1986
860001999;LUCTA GRANCOLOMBIANA S.A.;1527;29/09/1986
860002067;PROQUINAL S.A.;295;3/07/1986
860002127;INDUSTRIA COLOMBIANA DE LLANTAS S.A. ICOLLANTAS S.A.;1554;10/03/1986
860002130;NESTLE DE COLOMBIA S.A.;15;1/08/1986
860002134;ABBOTT LABORATORIES DE COLOMBIA S.A.;631;5/07/1986
860002274;ETERNA S.A.;68;1/21/1986
860002538;NOVARTIS DE COLOMBIA S.A.;147;2/12/1986
860001300;IGNACIO GOMEZ & CIA IHM S.A IGNACIO GOMEZ IHM S.A;367;18/03/1986
860001558;MUÑOZ OLARTE S.A. MOPOL;369;18/03/1986
860001605;FERRETERIA NURUEÑA S.A.;586;25/04/1986
860001743;PAÑOS ATLAS S.A.;846;6/10/1986
860001771;SCHREDER COLOMBIA S.A.;575;25/04/1986
860001781;INDUSTRIAS METALICAS ASOCIADAS IMAL S.A.;966;25/06/1986
860000261;COMPAÑIA NACIONAL DE LEVADURAS LEVAPAN;1245;8/08/1986
860000332;LINCOLN SOLDADURAS DE COLOMBIA LTDA;843;6/10/1986
860054854;IMPORTADORES EXPORTADORES SOLMAQ LTDA;1466;9/10/1986
860000452;MANUFACTURAS ELIOT S.A.;1191;7/29/1986
860000580;MERCK S.A.;1995;12/15/1986
860000596;ESPUMLATEX S.A.;629;5/07/1986
860000655;HERRERA RICAURTE & CIA.C.I.S.A.;838;6/10/1986
860000896;SIKA COLOMBIA S.A.;185;2/14/1986
860502509;P. V. C. GERFOR S.A.;1133;7/17/1986
860052601;EXRO LTDA;1569;10/08/1986
860054886;INCOLBESTOS S.A.;1131;7/17/1986
860030605;FIRMENICH S.A.;116;2/03/1986
860030808;NALCO DE COLOMBIA LIMITADA;900;6/19/1986
860031606;DIANA CORPORACION S.A. DISCORP S.A.;559;4/25/1986
860041813;INDUSTRIAS VANYPLAS S.A.;443;4/02/1986
860044702;NCH COLOMBIA S.A.;1914;12/03/1986
860047239;MUSICAR S.A.;767;5/29/1986
860047657;PRACO DIDACOL S.A.;726;5/22/1986
860048626;MINIPAK S.A.;1193;7/29/1986
860048867;C I DISAN S.A.;108;1/31/1986
860049042;COMESTIBLES ITALO S.A.;342;3/11/1986
860049313;FILMTEX S.A.;844;6/10/1986
860050956;ALTACOL NORVENTAS S.A. ANSA S.A.;433;4/02/1986
860025792;SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A. SOFASA S.A.;336;3/11/1986
860025900;ALPINA PRODUCTOS ALIMENTICIOS S.A.;45;1/14/1986
860025998;INCAP S.A.;333;3/11/1986
860012340;FRACO FABRICA COLOMBIANA DE REPUESTOS AUTOMOTORES S.A.;1134;7/17/1986
860013704;CRYOGAS SA;905;6/19/1986
860013771;AJOVER S.A.;801;6/03/1986
860013933;MANUFACTURAS VICTOR GASKETS DE COLOMBIA S.A.;485;4/08/1986
860015118;CONTINENTAL AUTOMOTORA S.A. CONTINAUTOS SA;965;6/25/1986
860015737;RODAMIENTOS DE COLOMBIA LTDA;1121;7/17/1986
860015753;COLOMBIANA KIMBERLY COLPAPEL S.A.;55;1/16/1986
860016767;ENVASES PUROS DE COLOMBIA S.A;429;4/02/1986
860017005;CHALLENGER S.A.;802;6/03/1986
860017055;PRODUCTOS ALIMENTICIOS DORIA S.A.;249;2/26/1986
860019041;LABORATORIOS ALCON DE COLOMBIA S.A.;1812;11/21/1986
860004755;FERROSTAL DE COLOMBIA LTDA;913;6/19/1986
860004828;FINCA S.A.;796;6/03/1986
860004855;GOODYEAR DE COLOMBIA S.A.;28;1/09/1986
860006160;PLASTILENE S.A.;551;4/22/1986
860006333;ABONOS COLOMBIANOS S.A.;633;5/07/1986
860006644;FORMFIT DE COLOMBIA S.A.;1913;12/03/1986
860006853;CARBOQUIMICA S.A.;758;5/29/1986
860007277;MEXICHEM RESINAS COLOMBIA S.A.;340;3/11/1986
860007884;AUTOMOTORA NACIONAL LTDA AUTONAL;1472;9/10/1986
860007955;DETERGENTES S.A. DERSA;337;3/11/1986
860007972;SONY MUSIC ENTERTAIMENT COLOMBIA S.A.;1192;7/29/1986
860008812;LIQUIDO CARBONICO COLOMBIANA S.A.;725;5/22/1986
860008817;CARBONE LORRAINE DE COLOMBIA S.A.;762;5/29/1986
860009034;STANTON Y CIA S.A.;1189;7/29/1986
860009487;ELECTROMANUFACTURAS S.A.;122;2/04/1986
860009693;IMPORTACIONES EL CRISOL LIMITADA;1469;9/10/1986
860009694;CYRGO LTDA;755;5/29/1986
860010192;PRODUCTORA DE GELATINA S.A.;46;1/14/1986
890101815;JOHNSON & JOHNSON DE COLOMBIA S.A.;106;1/31/1986
890211562;TEJIDOS SINTETICOS DE COLOMBIA S.A.;1379;8/27/1986
890300406;CARTON DE COLOMBIA S.A.;1574;10/08/1986
