ANIO;TIPO;DIG_DESDE;DIG_HASTA;NUM_CUOTA;VENCIMIENTO
2023;JURIDICA;1;1;2;2024-07-10
2023;JURIDICA;2;2;2;2024-07-11
2023;JURIDICA;3;3;2;2024-07-12
2023;JURIDICA;4;4;2;2024-07-15
2023;JURIDICA;5;5;2;2024-07-16
2023;JURIDICA;6;6;2;2024-07-17
2023;JURIDICA;7;7;2;2024-07-18
2023;JURIDICA;8;8;2;2024-07-19
2023;JURIDICA;9;9;2;2024-07-22
2023;JURIDICA;0;0;2;2024-07-23
2024;JURIDICA;1;1;2;2025-07-09
2024;JURIDICA;2;2;2;2025-07-10
2024;JURIDICA;3;3;2;2025-07-11
2024;JURIDICA;4;4;2;2025-07-14
2024;JURIDICA;5;5;2;2025-07-15
2024;JURIDICA;6;6;2;2025-07-16
2024;JURIDICA;7;7;2;2025-07-17
2024;JURIDICA;8;8;2;2025-07-18
2024;JURIDICA;9;9;2;2025-07-21
2024;JURIDICA;0;0;2;2025-07-22
2025;JURIDICA;1;1;2;2026-07-09
2025;JURIDICA;2;2;2;2026-07-10
2025;JURIDICA;3;3;2;2026-07-14
2025;JURIDICA;4;4;2;2026-07-15
2025;JURIDICA;5;5;2;2026-07-16
2025;JURIDICA;6;6;2;2026-07-17
2025;JURIDICA;7;7;2;2026-07-21
2025;JURIDICA;8;8;2;2026-07-22
2025;JURIDICA;9;9;2;2026-07-23
2025;JURIDICA;0;0;2;2026-07-24
