NIT;Razon_Social;Detalle
900200960;BANCIEN S.A. y/o BAN100 S.A.;Establecimiento bancario
800037800;BANCO AGRARIO DE COLOMBIA S.A. y podrá usar el nombre BANCO AGRARIO DE COLOMBIA ;Establecimiento bancario
860003020;BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A. pudiendo utilizar indistintamente;Establecimiento bancario
860007335;BANCO CAJA SOCIAL S.A.y podrá usar el nombre BANCO CAJA SOCIAL;Establecimiento bancario
860035827;BANCO COMERCIAL AV VILLAS S.A.;Establecimiento bancario
901702583;BANCO CONTACTAR S.A. y podrá utilizar la sigla BANCO CONTACTAR;Establecimiento bancario
900406150;BANCO COOMEVA S.A. pero en sus relaciones comerciales podrá identificarse como B;Establecimiento bancario
860034594;BANCO DAVIBANK;Establecimiento bancario
860034313;BANCO DAVIVIENDA S.A. o BANCO DAVIVIENDA;Establecimiento bancario
860002964;BANCO DE BOGOTÁ S.A.;Establecimiento bancario
900215071;BANCO DE LAS MICROFINANZAS BANCAMÍA S.A.;Establecimiento bancario
890300279;BANCO DE OCCIDENTE;Establecimiento bancario
900047981;BANCO FALABELLA S.A.;Establecimiento bancario
860051894;BANCO FINANDINA S.A. BIC;Establecimiento bancario
860050750;BANCO GNB SUDAMERIS S.A. quien podrá utilizar el nombre BANCO GNB SUDAMERIS o SU;Establecimiento bancario
900114346;BANCO J.P. MORGAN COLOMBIA S.A.;Establecimiento bancario
900768933;BANCO MUNDO MUJER S.A. o MUNDO MUJER EL BANCO DE LA COMUNIDAD o MUNDO MUJER y en;Establecimiento bancario
890200756;BANCO PICHINCHA S.A.;Establecimiento bancario
860007738;BANCO POPULAR S.A.;Establecimiento bancario
860043186;BANCO SERFINANZA S.A.;Establecimiento bancario
860006797;BANCO UNIÓN S.A. (en adelante el Banco o la Sociedad) igualmente;Establecimiento bancario
900378212;BANCO W S.A.;Establecimiento bancario
890903938;BANCOLOMBIA S.A. podrá girar también con la denominación social Banco de Colombi;Establecimiento bancario
901491551;Banco BTG Pactual (Colombia) S.A. y podrá utilizar las siglas Banco BTG Pactual ;Establecimiento bancario
900628110;Banco Santander Colombia S.A. (En adelante El Banco);Establecimiento bancario
860051135;CITIBANK-COLOMBIA Podrá utilizar solamente la expresión CITIBANK;Establecimiento bancario
890203088;EL BANCO COOPERATIVO COOPCENTRAL cuya sigla es COOPCENTRAL;Establecimiento bancario
