CIIU;ANIO;DECLARANTES;ING_BRUTOS_MM;COSTOS_MM;RENTA_LIQ_MM;MARGEN_COSTO;MARGEN_RENTA;NOMBRE
0111;2022;523;1450457.4;1365263.1;58626.2;0.9413;0.0404;Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas
0111;2023;594;13733971.6;1138315.6;63751.9;0.0829;0.0046;Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas
0111;2024;643;1297129.6;1086753.2;90237.6;0.8378;0.0696;Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas
0112;2022;675;2108736.4;1852287.4;175469.3;0.8784;0.0832;Cultivo de arroz
0112;2023;783;2149864.8;1890653.1;154055.0;0.8794;0.0717;Cultivo de arroz
0112;2024;830;12661816.1;1787768.7;134894.5;0.1412;0.0107;Cultivo de arroz
0113;2022;1115;1542124.6;1366394.6;69982.0;0.886;0.0454;Cultivo de hortalizas, raíces y tubérculos
0113;2023;1272;2028711.9;1853070.3;88694.7;0.9134;0.0437;Cultivo de hortalizas, raíces y tubérculos
0113;2024;1426;2512803.5;2166766.0;113249.3;0.8623;0.0451;Cultivo de hortalizas, raíces y tubérculos
0114;2022;8;586.3;587.9;49.3;1.0028;0.084;Cultivo de tabaco
0114;2023;13;3404.3;2715.2;58.2;0.7976;0.0171;Cultivo de tabaco
0114;2024;10;3721.9;2866.9;32.2;0.7703;0.0086;Cultivo de tabaco
0115;2022;52;22105.5;21245.4;725.9;0.9611;0.0328;Cultivo de plantas textiles
0115;2023;67;2517740.2;17806.5;462.6;0.0071;0.0002;Cultivo de plantas textiles
0115;2024;60;40998.6;10409.6;390.8;0.2539;0.0095;Cultivo de plantas textiles
0119;2022;784;1142022.0;1012996.6;93524.1;0.887;0.0819;Otros cultivos transitorios n.c.p.
0119;2023;798;695575.4;566733.7;37676.8;0.8148;0.0542;Otros cultivos transitorios n.c.p.
0119;2024;800;677734.6;604397.1;46570.6;0.8918;0.0687;Otros cultivos transitorios n.c.p.
0121;2022;2193;2314979.3;2148631.5;149226.0;0.9281;0.0645;Cultivo de frutas tropicales y subtropicales
0121;2023;2420;3858532.5;3623897.8;192388.4;0.9392;0.0499;Cultivo de frutas tropicales y subtropicales
0121;2024;2566;4481746.1;4191512.8;227166.6;0.9352;0.0507;Cultivo de frutas tropicales y subtropicales
0122;2022;697;3422360.8;3300693.4;146107.2;0.9644;0.0427;Cultivo de plátano y banano
0122;2023;744;3919254.6;3724248.7;186052.7;0.9502;0.0475;Cultivo de plátano y banano
0122;2024;776;3932454.5;3723517.9;171518.8;0.9469;0.0436;Cultivo de plátano y banano
0123;2022;1164;1348934.4;1012877.6;67588.6;0.7509;0.0501;Cultivo de café
0123;2023;1241;11801055.1;1130862.9;52876.0;0.0958;0.0045;Cultivo de café
0123;2024;1307;2402549.2;2000733.1;62085.2;0.8328;0.0258;Cultivo de café
0124;2022;839;6052380.6;4552663.0;1048582.0;0.7522;0.1733;Cultivo de caña de azúcar
0124;2023;842;4469880.0;3387039.1;732259.3;0.7577;0.1638;Cultivo de caña de azúcar
0124;2024;849;4191559.1;3386800.0;680825.0;0.808;0.1624;Cultivo de caña de azúcar
0125;2022;871;10568215.1;8793219.2;744934.2;0.832;0.0705;Cultivo de flor de corte
0125;2023;908;10967481.7;9610007.5;331335.5;0.8762;0.0302;Cultivo de flor de corte
0125;2024;918;11136291.6;10251098.4;386394.3;0.9205;0.0347;Cultivo de flor de corte
0126;2022;1437;10703777.8;7381198.2;1812428.2;0.6896;0.1693;Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
0126;2023;1537;9068628.7;7556649.1;970849.4;0.8333;0.1071;Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
0126;2024;1587;8215122.8;6988599.3;795876.2;0.8507;0.0969;Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
0127;2022;143;195973.9;153476.4;20699.3;0.7831;0.1056;Cultivo de plantas con las que se preparan bebidas
0127;2023;161;277795.6;209566.5;13760.3;0.7544;0.0495;Cultivo de plantas con las que se preparan bebidas
0127;2024;167;1151851.1;394191.9;15297.5;0.3422;0.0133;Cultivo de plantas con las que se preparan bebidas
0128;2022;922;329052.3;389218.2;20592.7;1.1828;0.0626;Cultivo de especias y de plantas aromáticas y medicinales
0128;2023;912;432037.1;427667.2;17283.5;0.9899;0.04;Cultivo de especias y de plantas aromáticas y medicinales
0128;2024;875;442731.9;388152.1;21138.1;0.8767;0.0477;Cultivo de especias y de plantas aromáticas y medicinales
0129;2022;552;603063.2;450324.5;54183.2;0.7467;0.0898;Otros cultivos permanentes n.c.p.
0129;2023;605;396979.7;384277.8;27773.8;0.968;0.07;Otros cultivos permanentes n.c.p.
0129;2024;620;458728.7;421741.8;36133.7;0.9194;0.0788;Otros cultivos permanentes n.c.p.
0130;2022;646;624469.2;549827.9;45783.1;0.8805;0.0733;Propagación de plantas (actividades de los viveros, excepto viveros forestales)
0130;2023;722;618613.4;548785.8;43736.6;0.8871;0.0707;Propagación de plantas (actividades de los viveros, excepto viveros forestales)
0130;2024;792;657285.6;586194.6;43182.3;0.8918;0.0657;Propagación de plantas (actividades de los viveros, excepto viveros forestales)
0141;2022;5877;8847761.0;7180477.9;615794.8;0.8116;0.0696;Cría de ganado bovino y bufalino
0141;2023;6247;8975493.9;7747771.9;617642.9;0.8632;0.0688;Cría de ganado bovino y bufalino
0141;2024;6724;9607231.1;8204424.8;648683.7;0.854;0.0675;Cría de ganado bovino y bufalino
0142;2022;150;140829.9;70021.2;3307.8;0.4972;0.0235;Cría de caballos y otros equinos
0142;2023;172;61531.9;51348.9;6763.0;0.8345;0.1099;Cría de caballos y otros equinos
0142;2024;207;72563.3;57873.2;6322.6;0.7976;0.0871;Cría de caballos y otros equinos
0143;2022;83;16837.2;15437.4;1160.2;0.9169;0.0689;Cría de ovejas y cabras
0143;2023;92;27677.8;25726.4;1346.2;0.9295;0.0486;Cría de ovejas y cabras
0143;2024;96;26138.9;23234.7;1686.1;0.8889;0.0645;Cría de ovejas y cabras
0144;2022;669;4580129.9;4262448.2;231427.3;0.9306;0.0505;Cría de ganado porcino
0144;2023;763;5273557.7;4940924.8;238967.9;0.9369;0.0453;Cría de ganado porcino
0144;2024;846;5682531.3;5205149.1;316727.8;0.916;0.0557;Cría de ganado porcino
0145;2022;1115;20203206.3;18671452.7;1064831.7;0.9242;0.0527;Cría de aves de corral
0145;2023;1270;23044312.5;21548276.7;982056.4;0.9351;0.0426;Cría de aves de corral
0145;2024;1408;23017109.0;20528644.3;1519014.0;0.8919;0.066;Cría de aves de corral
0149;2022;562;349308.3;315252.9;17032.5;0.9025;0.0488;Cría de otros animales n.c.p.
0149;2023;611;242255.2;221372.5;14491.2;0.9138;0.0598;Cría de otros animales n.c.p.
0149;2024;641;278748.5;245810.1;18146.6;0.8818;0.0651;Cría de otros animales n.c.p.
0150;2022;3325;3183740.5;2319080.1;233312.1;0.7284;0.0733;Explotación mixta (agrícola y pecuaria)
0150;2023;3488;2749767.4;2492755.9;173817.8;0.9065;0.0632;Explotación mixta (agrícola y pecuaria)
0150;2024;3563;3345225.5;2500459.2;196565.5;0.7475;0.0588;Explotación mixta (agrícola y pecuaria)
0161;2022;4486;5036102.4;4272538.9;425905.8;0.8484;0.0846;Actividades de apoyo a la agricultura
0161;2023;4923;5707891.3;4915157.0;436946.9;0.8611;0.0766;Actividades de apoyo a la agricultura
0161;2024;5280;5925136.8;5184574.7;421838.2;0.875;0.0712;Actividades de apoyo a la agricultura
0162;2022;924;4496834.8;4363730.6;75918.9;0.9704;0.0169;Actividades de apoyo a la ganadería
0162;2023;1002;1005912.8;889671.1;68180.4;0.8844;0.0678;Actividades de apoyo a la ganadería
0162;2024;1036;1030568.0;922605.2;74068.6;0.8952;0.0719;Actividades de apoyo a la ganadería
0163;2022;292;725323.5;671586.4;16385.6;0.9259;0.0226;Actividades posteriores a la cosecha
0163;2023;329;676670.1;610186.5;22023.7;0.9017;0.0325;Actividades posteriores a la cosecha
0163;2024;352;700212.2;659080.6;20382.5;0.9413;0.0291;Actividades posteriores a la cosecha
0164;2023;37;568830.0;502082.4;5435.4;0.8827;0.0096;Tratamiento de semillas para propagación
0164;2024;34;644407.7;583361.5;6727.9;0.9053;0.0104;Tratamiento de semillas para propagación
0170;2023;5;4117.6;3699.9;400.4;0.8985;0.0973;Caza ordinaria y mediante trampas y actividades de servicios conexas
0170;2024;5;6002.6;5395.4;509.6;0.8988;0.0849;Caza ordinaria y mediante trampas y actividades de servicios conexas
0210;2022;1026;1950428.8;1429975.0;401093.1;0.7332;0.2056;Silvicultura y otras actividades forestales
0210;2023;1124;2602763.0;1668998.6;313033.6;0.6412;0.1203;Silvicultura y otras actividades forestales
0210;2024;1168;2287553.1;1888656.4;294432.7;0.8256;0.1287;Silvicultura y otras actividades forestales
0220;2022;246;245924.0;201442.0;16975.4;0.8191;0.069;Extracción de madera
0220;2023;284;396901.0;336655.4;35134.1;0.8482;0.0885;Extracción de madera
0220;2024;291;526916.2;289831.6;33259.2;0.5501;0.0631;Extracción de madera
0230;2022;20;5195.9;5140.6;126.1;0.9894;0.0243;Recolección de productos forestales diferentes a la madera
0230;2023;26;14550.5;11344.4;88.7;0.7797;0.0061;Recolección de productos forestales diferentes a la madera
0230;2024;31;12407.6;11475.9;1054.9;0.9249;0.085;Recolección de productos forestales diferentes a la madera
0240;2022;143;168543.9;115481.3;11713.0;0.6852;0.0695;Servicios de apoyo a la silvicultura
0240;2023;174;195071.5;157734.2;20222.6;0.8086;0.1037;Servicios de apoyo a la silvicultura
0240;2024;175;165643.2;131104.0;25782.5;0.7915;0.1557;Servicios de apoyo a la silvicultura
0311;2022;118;259656.8;237195.7;10520.8;0.9135;0.0405;Pesca marítima
0311;2023;143;263918.6;245137.0;6647.5;0.9288;0.0252;Pesca marítima
0311;2024;160;233892.1;214723.3;7723.5;0.918;0.033;Pesca marítima
0312;2022;157;151215.3;140656.6;9005.7;0.9302;0.0596;Pesca de agua dulce
0312;2023;173;134829.8;121484.7;6374.8;0.901;0.0473;Pesca de agua dulce
0312;2024;179;126551.2;111674.5;13390.3;0.8824;0.1058;Pesca de agua dulce
0321;2022;56;104576.1;129081.2;518.1;1.2343;0.005;Acuicultura marítima
0321;2023;64;130354.5;141683.8;1321.8;1.0869;0.0101;Acuicultura marítima
0321;2024;63;97382.7;108408.0;826.6;1.1132;0.0085;Acuicultura marítima
0322;2022;637;1316806.6;1196894.7;80232.5;0.9089;0.0609;Acuicultura de agua dulce
0322;2023;700;1927495.1;1441205.6;72869.3;0.7477;0.0378;Acuicultura de agua dulce
0322;2024;724;1773850.5;1282214.3;77728.7;0.7228;0.0438;Acuicultura de agua dulce
0510;2022;1389;53820225.1;26469512.9;25253598.6;0.4918;0.4692;Extracción de hulla (carbón de piedra)
0510;2023;1401;38969689.0;27923628.2;8009104.7;0.7165;0.2055;Extracción de hulla (carbón de piedra)
0510;2024;1429;28601050.9;24430813.9;3714886.6;0.8542;0.1299;Extracción de hulla (carbón de piedra)
0520;2022;44;139150.3;123491.3;15967.6;0.8875;0.1148;Extracción de carbón lignito
0520;2023;47;63792.6;63889.2;965.1;1.0015;0.0151;Extracción de carbón lignito
0520;2024;44;45018.6;42633.0;1096.4;0.947;0.0244;Extracción de carbón lignito
0610;2022;231;195296189.5;138604805.0;52056542.1;0.7097;0.2666;Extracción de petróleo crudo
0610;2023;220;167236652.2;134501287.1;28366376.4;0.8043;0.1696;Extracción de petróleo crudo
0610;2024;216;149251419.6;124770799.6;18662578.5;0.836;0.125;Extracción de petróleo crudo
0620;2022;17;74561.4;130634.5;4950.1;1.752;0.0664;Extracción de gas natural
0620;2023;26;2261758.2;2100176.3;474189.1;0.9286;0.2097;Extracción de gas natural
0620;2024;30;2477291.0;2039814.5;495413.1;0.8234;0.2;Extracción de gas natural
0710;2022;39;1482.8;1461.1;288.7;0.9854;0.1947;Extracción de minerales de hierro
0710;2023;42;16639.3;15075.8;1025.3;0.906;0.0616;Extracción de minerales de hierro
0710;2024;49;19324.3;15575.7;2623.7;0.806;0.1358;Extracción de minerales de hierro
0721;2022;5;3319.9;3473.6;0.2;1.0463;0.0001;Extracción de minerales de uranio y de torio
